Details,Sta ID,Route,BEGIN_MP,END_MP,County,AADT,Year,Map,
,034C30,034-CS-2242  -000,1.1590,2.5750,Fayette,4150,2024,,
,034B86,034-CS-4469  -000,1.1080,1.9820,Fayette,4148,2022,,
,034A24,034-CS-7084  -000,0,1.23,Fayette,4148,2024,,
,034C28,034-CS-2232  -000,0,1.2390,Fayette,4146,2022,,
,034047,034-KY-0922  -000,3.3690,5.6570,Fayette,4142,2020,,
,034D43,034-CS-4794  -000,0,0.7290,Fayette,4141,2022,,
,034D95,034-CS-4619  -000,0,0.8940,Fayette,4121,2022,,
,034C35,034-CS-2241  -000,0,0.7190,Fayette,4105,2022,,
,034404,034-US-0025  -000,4.8320,8.14,Fayette,4098,2024,,
,034N33,034-CS-3377  -000,0,0.7460,Fayette,4091,2023,,
,034F66,034-CS-2758  -000,0,0.6480,Fayette,4048,2023,,
,034A55,034-CS-1307  -000,0,1.0240,Fayette,4037,2024,,
,034M89,034-CS-3142  -000,0,0.9410,Fayette,4012,2022,,
,034751,034-KY-1963  -000,0,0.13,Fayette,3967,2023,,
,034A96,034-CS-2233  -000,0,0.5730,Fayette,3957,2024,,
,034N56,034-CS-4030  -000,0,0.9540,Fayette,3956,2023,,
,034368,034-KY-1975  -000,4.4630,5.41,Fayette,3952,2024,,
,034E97,034-CS-2494  -000,0.8740,0.94,Fayette,3949,2023,,
,034M56,034-CS-4785  -000,0,0.4430,Fayette,3943,2022,,
,034B87,034-CS-4825  -000,0,1.2030,Fayette,3925,2024,,
,034F07,034-CS-1001  -000,0,1.1320,Fayette,3899,2020,,
,034D05,034-CS-1381  -000,0.0760,0.83,Fayette,3894,2022,,
,034B25,034-CS-3290  -000,0,0.4640,Fayette,3882,2024,,
,034E60,034-KY-1977  -000,5.7380,6.2550,Fayette,3873,2022,,
,034N62,034-CS-7302  -000,0.2750,1.7440,Fayette,3834,2024,,
,034043,034-KY-1973  -000,16.80,19.2050,Fayette,3813,2022,,
,034M73,034-CS-2189  -000,0.04,0.2350,Fayette,3782,2024,,
,034M73,034-CS-2443  -000,0.1010,0.5450,Fayette,3782,2024,,
,034G83,034-CS-4328  -000,0,0.8920,Fayette,3727,2022,,
,034A39,034-CS-2370  -000,0,0.6460,Fayette,3705,2022,,
,034D16,034-CS-3697  -000,0,0.4810,Fayette,3704,2024,,
,034D29,034-CS-3418  -000,0.1660,0.9250,Fayette,3683,2020,,
,034D62,034-CS-1999  -000,0,0.0470,Fayette,3658,2024,,
,034D62,034-CS-2017  -000,0.0510,1.1540,Fayette,3658,2024,,
,034M79,034-CS-3782  -000,0.11,0.2720,Fayette,3594,2022,,
,034M70,034-CS-2587  -000,0,0.4270,Fayette,3579,2022,,
,034H03,034-CS-2265  -000,0,0.1830,Fayette,3565,2024,,
,034M88,034-CS-2693  -000,0,0.3440,Fayette,3532,2023,,
,034M92,034-CS-7004  -000,0,0.6530,Fayette,3461,2022,,
,034G25,034-KY-1977  -000,5.06,5.7380,Fayette,3424,2023,,
,034N42,034-CS-3797  -000,0,0.4050,Fayette,3421,2024,,
,034F81,034-CS-2651  -000,0,0.0790,Fayette,3414,2023,,
,034F81,034-CS-2759  -000,0,0.1640,Fayette,3414,2023,,
,034N66,034-CS-4578  -000,0.2050,0.7720,Fayette,3404,2023,,
,034D45,034-CS-4332  -000,0,0.7880,Fayette,3388,2022,,
,034H00,034-CS-2234  -000,0,0.5540,Fayette,3343,2024,,
,034G99,034-CS-2252  -000,0,0.4810,Fayette,3261,2022,,
,034N25,034-CS-2252  -000,0.4810,0.7880,Fayette,3248,2024,,
,034N01,034-CS-4970  -000,0,0.5430,Fayette,3240,2022,,
,034E99,034-CS-2439  -000,0,0.4610,Fayette,3238,2024,,
,034D01,034-CS-2042  -000,0,0.4430,Fayette,3233,2023,,
,034B06,034-CS-1189  -000,0,0.4790,Fayette,3216,2022,,
,034H84,034-CS-1325  -000,2.33,3.37,Fayette,3194,2023,,
,034E93,034-CS-3824  -000,0,0.3080,Fayette,3187,2024,,
,034E93,034-IC-8104AT-000,0,0.1960,Fayette,3187,2024,,
,034N29,034-CS-3292  -000,0,0.4480,Fayette,3181,2023,,
,034M82,034-CS-3821  -000,0,0.35,Fayette,3172,2024,,
,034G27,034-CR-1202  -000,0,2.4740,Fayette,3136,2023,,
,034C50,034-CS-3010  -000,0,0.6780,Fayette,3127,2023,,
,034D35,034-CS-3070  -000,0.6030,1.34,Fayette,3117,2023,,
,034339,034-KY-0418  -000,2.5280,4.1480,Fayette,3103,2022,,
,034022,034-KY-0353  -000,4.1970,6.7460,Fayette,3067,2020,,
,034N22,034-CS-3559  -000,0,0.0710,Fayette,3066,2024,,
,034N22,034-CS-3649  -000,0,0.68,Fayette,3066,2024,,
,034N17,034-CS-2548  -000,1.17,3.5050,Fayette,3043,2024,,
,034N20,034-CS-2443  -000,0,0.1010,Fayette,3041,2024,,
